fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
fu,fu,gd,fu,fu,gt,fu,fu,gt,fu,fu,gt,fu,fu,gd,fu,fu
fu,fu,fu,gt,fu,fu,fu,fu,fu,fu,fu,fu,fu,gt,fu,fu,fu
fu,fu,fu,fu,fu,fu,gd,fu,fu,fu,gd,fu,fu,fu,fu,fu,fu
fu,fu,gt,fu,fu,gt,fu,fu,gt,fu,fu,gt,fu,fu,gt,fu,fu
fu,fu,fu,fu,gd,fu,fu,fu,fu,fu,fu,fu,gd,fu,fu,fu,fu
fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
fu,fu,gt,fu,fu,gt,fu,fu,it,fu,fu,gt,fu,fu,gt,fu,fu
fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
fu,fu,fu,fu,gd,fu,fu,fu,fu,fu,fu,fu,gd,fu,fu,fu,fu
fu,fu,gt,fu,fu,gt,fu,fu,gt,fu,fu,gt,fu,fu,gt,fu,fu
fu,fu,fu,fu,fu,fu,gd,fu,fu,fu,gd,fu,fu,fu,fu,fu,fu
fu,fu,fu,gt,fu,fu,fu,fu,fu,fu,fu,fu,fu,gt,fu,fu,fu
fu,fu,gd,fu,fu,gt,fu,fu,gt,fu,fu,gt,fu,fu,gd,fu,fu
fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
